Bedrooms,Bathrooms,Sqft_living,Sqft_lot,Floors,Waterfront,View,Condition,Sqft_above,Sqft_basement,Yr_built,Yr_renovated,Price
6,3,2400,7420,2,0,0,3,2400,0,1991,0,13300000
6,3,2400,8960,2,0,0,3,2400,0,1991,0,12250000
4,1.75,2060,9960,1,0,0,4,1160,900,1947,0,12250000
3,1,1460,7500,1,0,0,3,1460,0,1952,0,12215000
3,1,1430,7420,1.5,0,0,4,1010,420,1930,0,11410000
4,2,1650,7500,1,0,0,3,760,890,1951,2013,10850000
4,2.75,2220,8580,1,0,0,5,1170,1050,1951,0,10150000
5,1.5,1990,16200,1,0,0,3,1990,0,1960,0,10150000
4,2.5,2540,8100,2,0,0,3,2540,0,2005,0,9870000
3,1,1340,5750,1.5,0,0,4,1340,0,1945,0,9800000
4,2,1980,13200,1.5,0,0,2,1980,0,1924,0,9800000
2,1,840,6000,1,0,0,3,840,0,1925,0,9681000
2,1,840,6550,1,0,0,3,840,0,1925,0,9310000
2,1,790,3500,1,0,0,4,790,0,1925,0,9240000
3,2,1410,7800,2,0,0,4,1410,0,1902,0,9240000
3,2.25,1530,6000,2,0,0,3,1050,480,2014,0,9100000
5,1,3020,6600,2,0,0,3,3020,0,1901,0,9100000
2,2,1130,8500,2,0,0,3,800,330,2007,0,8960000
2,1,1420,4600,2,0,0,4,1420,0,1941,1973,8890000
3,2.5,1530,6420,2,0,0,3,1530,0,1998,0,8855000
3,2.5,1530,4320,2,0,0,3,1530,0,1998,0,8750000
3,2.5,1910,7155,2,0,0,3,1910,0,1998,0,8680000
3,2.5,3350,8050,2,0,0,3,2550,800,2005,0,8645000
3,2.5,2870,4560,2,0,0,3,2870,0,1991,0,8645000
3,2.5,3130,8800,2,0,0,3,3130,0,1991,0,8575000
5,2.75,3010,6540,2,0,0,3,3010,0,1994,0,8540000
3,3.25,3060,6000,2,0,0,3,2460,600,1994,0,8463000
3,3.5,3190,8875,2,0,0,3,2560,630,1994,0,8400000
4,2.75,3130,7950,2,0,0,3,2140,990,1993,0,8400000
4,2.5,2660,5500,2,0,0,3,2660,0,1993,0,8400000
4,2.5,2341,7475,2,0,0,3,2341,0,1997,0,8400000
4,2.5,3020,7000,2,0,0,3,2540,480,1997,0,8400000
3,2.5,2620,4880,2,0,0,3,2620,0,1995,0,8295000
4,2.75,3010,5960,2,0,0,3,3010,0,1996,0,8190000
3,2.5,1850,6840,2,0,0,3,1850,0,2003,0,8120000
3,1,1100,7000,1,0,0,4,1100,0,1913,0,8080940
4,2.75,2500,7482,1.5,0,0,4,1420,1080,1907,0,8043000
3,2.5,1520,9000,2,0,0,3,1520,0,2005,0,7980000
2,1.75,1740,6000,1,0,0,3,580,1160,1915,0,7962500
3,1.5,1640,6000,2,0,0,4,1640,0,1908,0,7910000
3,1.5,1070,6550,1,0,0,3,1070,0,1985,0,7875000
3,2.25,1640,6360,2,0,0,4,1640,0,1918,1983,7840000
2,1,1200,6480,1,0,0,4,1200,0,1921,0,7700000
2,1,1600,6000,1,0,0,4,1390,210,1949,0,7700000
4,1,1320,6000,1,0,0,5,1320,0,1914,0,7560000
3,2.25,2010,6000,1,0,0,3,1330,680,1975,0,7560000
4,2.25,2470,6000,1,0,0,3,1470,1000,1975,0,7525000
5,2.5,2620,6600,1,0,0,3,1520,1100,1975,0,7490000
3,1.75,1470,4300,1,0,0,4,1470,0,1978,0,7455000
3,1.75,1790,7440,1,0,0,4,1410,380,1978,0,7420000
5,3.5,3620,7440,2,0,2,3,2790,830,1958,2010,7420000
5,2.75,3050,6325,1,0,0,4,1650,1400,1956,0,7420000
2,1,1100,6000,1,0,0,3,1100,0,1954,0,7350000
3,2,3030,5150,1,0,1,4,2100,930,1959,0,7350000
5,2.25,2240,6000,1,0,0,3,1490,750,1959,0,7350000
2,1.75,1290,6000,1,0,2,3,870,420,1951,0,7350000
3,3.25,2230,11440,1,0,1,4,1430,800,1977,0,7343000
3,1.5,1480,9000,1,0,0,5,1480,0,1960,0,7245000
2,1,1130,7680,1,0,0,4,1130,0,1955,0,7210000
2,1,780,6000,1,0,0,3,780,0,1939,0,7210000
5,2.5,2130,6000,2,0,0,3,2130,0,2013,0,7140000
2,1,780,8880,1,0,0,1,780,0,1942,0,7070000
2,1,1500,6240,1,0,0,3,1500,0,1950,0,7070000
2,1,1400,6360,1.5,0,0,3,1100,300,1929,0,7035000
4,2.5,2910,11175,2,0,0,3,2910,0,2001,0,7000000
2,1,1110,8880,1,0,0,3,1110,0,1951,0,6930000
2,1,880,13200,1,0,0,3,880,0,1928,0,6930000
5,1,1500,7700,1.5,0,0,5,1500,0,1966,0,6895000
2,1,1450,6000,1,0,0,4,1450,0,1965,0,6860000
3,1.5,1970,12090,1,0,0,3,1970,0,1966,0,6790000
5,4.5,4440,4000,2,0,0,3,4440,0,2012,0,6790000
4,2,1520,6000,1,0,0,3,1020,500,1920,0,6755000
5,3,3300,5020,1,0,3,3,1870,1430,1957,1991,6720000
5,3.5,5000,6600,2,0,3,3,3410,1590,2008,0,6685000
4,3.75,4100,4040,1.5,0,3,5,2540,1560,1934,1979,6650000
2,1.75,1430,4260,1,0,0,3,1430,0,1983,0,6650000
4,1.5,1780,6420,1.5,0,0,4,1780,0,1962,0,6650000
4,3,3000,6500,2,0,0,3,3000,0,2003,0,6650000
4,2.5,2180,5700,2,0,0,3,2180,0,2004,0,6650000
3,3.5,1650,6000,2,0,0,3,1100,550,2012,0,6650000
3,2.5,1870,6000,2,0,0,3,1870,0,2007,0,6629000
4,2.5,1890,4000,2,0,0,3,1890,0,2014,0,6615000
4,2.5,2660,10500,2,0,0,3,2660,0,2010,0,6615000
3,2.75,2600,6000,1.5,0,2,5,1600,1000,1929,0,6580000
1,1,1940,3760,1,0,3,3,1940,0,1963,0,6510000
3,1.5,2180,8250,1,0,3,4,1090,1090,1941,0,6510000
4,2.75,2240,6670,2,0,0,4,1540,700,1940,0,6510000
4,2.25,2010,3960,2,0,0,4,2010,0,1988,0,6475000
3,2,1550,7410,1,0,0,5,830,720,1942,0,6475000
2,1.75,1240,8580,1,0,0,5,1240,0,1924,0,6440000
3,2.5,3370,5000,2,0,2,4,2840,530,1912,2001,6440000
4,3,1490,6750,1.5,0,1,5,1490,0,1915,0,6419000
