Data1,Data2,Output
0.16,0.48,1
1.20,-0.54,0
-0.62,0.73,0
1.07,-0.34,0
0.84,-0.50,0
-0.19,0.34,1
0.85,0.61,0
0.22,0.01,1
-0.09,0.41,1
0.84,0.46,0
-0.86,-0.32,0
-0.38,-0.05,1
0.53,0.09,1
0.28,0.40,1
0.34,-0.93,0
-0.09,0.45,1
0.75,0.72,0
0.42,-0.09,1
-0.25,0.23,1
-0.40,-0.16,1
0.25,0.04,1
-0.80,0.20,0
0.89,-0.46,0
0.30,-0.06,1
0.89,-0.10,0
0.55,-0.07,1
-0.87,0.65,0
-0.16,-0.36,1
-0.11,0.23,1
-0.08,-0.44,1
0.98,0.47,0
-1.09,-0.15,0
0.91,-0.54,0
0.86,-0.04,0
-0.07,-0.34,1
-0.59,-1.06,0
0.45,0.37,1
0.98,0.46,0
0.30,-1.01,0
-0.13,0.27,1
0.21,0.33,1
1.08,-0.08,0
-0.31,-0.40,1
-0.40,0.99,0
0.27,-0.19,1
1.03,-0.02,0
0.79,-0.21,0
-0.52,-1.00,0
-0.67,0.75,0
-1.10,0.17,0
0.08,-0.89,0
-0.07,-0.33,1
1.03,0.11,0
-0.43,-0.20,1
-0.65,-0.71,0
-0.20,-0.00,1
-0.70,-0.57,0
0.25,-0.06,1
-1.10,-0.02,0
-0.95,-0.44,0
0.12,1.26,0
-0.54,-0.23,1
-0.11,0.30,1
0.80,0.15,0
-0.00,1.04,0
-0.35,-0.36,1
-0.92,-0.40,0
0.25,-0.15,1
-0.08,0.44,1
-0.76,-0.20,0
0.40,0.22,1
0.48,0.79,0
-0.10,-1.00,0
-0.87,-0.35,0
-0.89,-0.36,0
-0.21,-0.26,1
0.28,0.99,0
-0.25,0.39,1
-0.10,-0.29,1
-0.83,0.77,0
0.12,-0.42,1
0.40,1.04,0
0.47,0.19,1
0.17,-0.96,0
0.08,0.46,1
-0.81,-0.83,0
-0.53,-0.88,0
-0.72,-0.55,0
0.14,-0.49,1
-0.37,-0.14,1
-0.38,-0.01,1
-0.29,-0.25,1
0.27,-0.25,1
0.19,0.89,0
-0.63,-0.86,0
0.16,-1.00,0
0.20,-0.29,1
-0.32,-0.16,1
-0.31,-0.09,1
-0.31,0.02,1
0.62,0.79,0
0.27,0.04,1
0.99,-0.28,0
-0.51,-0.29,1
-0.11,0.33,1
-0.98,0.52,0
-0.60,0.85,0
-0.29,-0.08,1
0.25,-0.40,1
-1.14,0.15,0
0.43,0.21,1
-0.25,0.21,1
0.26,-0.95,0
0.21,0.94,0
-0.07,-0.32,1
0.40,-0.89,0
-0.24,-0.12,1
0.57,0.88,0
-1.07,0.22,0
0.39,-0.64,0
-0.36,0.26,1
0.64,-0.95,0
-0.49,-0.19,1
0.26,0.40,1
-0.47,-0.90,0
0.80,-0.47,0
-0.59,-1.01,0
0.35,-0.84,0
0.15,-0.33,1
0.05,1.05,0
-0.12,0.51,1
-0.85,-0.75,0
0.80,0.67,0
0.35,0.41,1
-0.12,-0.38,1
0.42,-0.17,1
0.75,0.10,0
-0.15,0.29,1
-0.43,1.16,0
0.03,-0.39,1
0.86,0.09,0
-0.46,-0.04,1
-0.08,0.32,1
1.06,0.02,0
-0.33,-0.16,1
-0.22,0.33,1
0.39,0.33,1
0.29,0.94,0
-0.13,1.12,0
0.96,-0.35,0
0.06,0.41,1
0.02,0.51,1
-0.02,-0.85,0
-0.18,-0.48,1
0.40,0.04,1
-0.29,0.22,1
0.46,0.17,1
0.88,-0.02,0
0.34,0.43,1
0.71,-0.80,0
1.10,0.11,0
0.67,-0.81,0
-0.45,0.05,1
0.64,0.74,0
-0.84,0.50,0
1.07,0.18,0
0.26,-0.29,1
0.06,-0.39,1
-0.24,-0.19,1
-0.80,0.28,0
0.26,0.85,0
0.37,-0.27,1
-0.53,0.23,1
-0.22,0.30,1
0.93,0.32,0
1.09,0.41,0
-1.16,-0.16,0
0.15,-0.50,1
0.87,-0.41,0
0.10,0.41,1
-0.19,-0.24,1
-0.74,-0.79,0
0.34,0.21,1
0.37,-0.93,0
0.28,0.32,1
-0.34,-0.23,1
0.64,0.52,0
-0.32,-0.03,1
-1.08,0.05,0
0.57,0.80,0
-0.29,-0.40,1
-0.89,-0.53,0
0.78,-0.86,0
-0.73,-0.51,0
-0.46,-0.38,1
0.84,-0.47,0
0.16,1.01,0
-0.79,-0.71,0
0.26,0.98,0
0.11,-1.19,0
0.52,0.08,1
0.05,-0.30,1
1.14,0.39,0
0.06,-0.95,0
0.19,-0.33,1
0.83,0.50,0
-0.35,-0.16,1
0.85,0.65,0
-0.33,-0.23,1
1.04,0.37,0
-0.56,-0.82,0
-0.27,-0.29,1
-0.27,0.09,1
0.46,-0.12,1
0.25,0.18,1
-0.44,-0.18,1
-0.20,0.22,1
-0.25,0.43,1
-0.47,0.03,1
-0.89,-0.28,0
-0.41,-0.20,1
0.04,0.48,1
-0.31,-0.39,1
-0.02,1.14,0
0.15,-0.18,1
0.53,-1.01,0
-0.37,-0.17,1
-0.22,-0.07,1
-0.67,-1.05,0
0.47,0.00,1
0.51,1.05,0
0.89,0.44,0
0.24,0.38,1
-0.18,0.50,1
0.69,-0.83,0
0.24,-0.07,1
0.19,0.96,0
-0.97,-0.29,0
-0.22,0.45,1
-0.21,-0.48,1
-0.29,-0.24,1
-0.38,-0.99,0
0.95,0.16,0
0.76,-0.39,0
-0.15,1.11,0
-0.30,0.84,0
0.08,0.29,1
-0.78,-0.56,0
-0.99,-0.46,0
0.86,-0.27,0
-0.34,-0.16,1
1.07,-0.04,0
0.37,-0.19,1
-0.07,0.20,1
0.62,-0.68,0
-0.53,-0.23,1
0.07,-0.97,0
0.65,-0.09,1
0.83,-0.76,0
-0.38,-0.92,0
1.22,-0.38,0
-0.43,0.21,1
0.23,-0.38,1
-0.89,0.17,0
0.12,1.01,0
0.09,0.14,1
-0.19,-0.33,1
0.98,0.09,0
-0.12,-1.01,0
-0.29,0.86,0
0.56,-0.81,0
0.33,-0.44,1
0.38,-0.26,1
-0.24,-0.65,1
0.46,0.87,0
0.24,0.35,1
-0.40,-0.07,1
-0.31,0.76,0
-0.37,-0.04,1
0.29,0.25,1
-0.46,0.16,1
1.19,0.19,0
-0.07,-0.44,1
0.25,-0.00,1
0.41,-0.19,1
-0.16,0.25,1
-0.46,-0.90,0
-0.86,0.49,0
-0.95,-0.41,0
0.72,-0.60,0
0.24,0.29,1
-0.28,0.10,1
-0.06,-0.28,1
-1.09,0.38,0
-0.54,-0.24,1
-0.20,0.46,1
-0.48,-0.03,1
0.10,0.42,1
-0.19,1.16,0
-0.38,-0.06,1
-0.44,0.09,1
-0.09,1.07,0
-0.31,0.21,1
-0.49,-0.92,0
0.95,0.15,0
0.37,0.33,1
-0.08,-0.62,1
-0.33,0.28,1
0.14,1.06,0
0.22,0.33,1
0.22,-0.39,1
-0.39,-0.06,1
-0.12,-0.33,1
-0.32,0.50,1
0.74,0.73,0
-0.24,0.34,1
1.05,-0.29,0
-0.21,0.38,1
-0.33,-0.02,1
0.29,0.40,1
-0.42,-0.14,1
0.50,-0.66,0
0.19,0.31,1
-0.10,-0.31,1
-0.15,0.51,1
-0.22,0.19,1
0.55,-0.93,0
-0.39,-0.25,1
-0.32,-0.14,1
1.01,-0.40,0
-0.55,0.80,0
0.51,-0.95,0
-0.47,0.84,0
-0.79,0.38,0
-0.09,-0.21,1
0.98,-0.57,0
0.35,-0.92,0
-0.25,-0.19,1
0.16,0.37,1
0.92,-0.19,0
0.27,-0.05,1
-0.34,-0.31,1
1.00,-0.36,0
-0.25,-0.08,1
-0.31,-0.33,1
-0.37,0.97,0
1.01,-0.29,0
-0.42,-0.31,1
-0.16,0.36,1
0.15,0.34,1
-0.39,-0.15,1
-0.14,-1.05,0
0.98,0.42,0
-0.50,0.82,0
-0.08,-0.43,1
1.07,-0.15,0
0.31,0.20,1
0.33,-0.80,0
0.21,-0.41,1
-0.99,0.23,0
-0.26,-0.82,0
0.43,0.19,1
0.82,-0.21,0
-0.39,-0.00,1
0.28,0.23,1
-0.30,-0.02,1
-0.53,-0.02,1
0.07,-0.30,1
0.98,0.00,0
-0.75,0.74,0
-1.13,-0.47,0
-0.37,0.07,1
-0.87,-0.50,0
0.05,1.04,0
-0.80,-0.61,0
-0.31,-0.32,1
-0.46,-0.06,1
-0.33,-0.92,0
0.48,0.73,0
-0.36,0.84,0
0.01,0.35,1
0.12,0.33,1
-0.83,0.13,0
-0.34,-0.79,0
-0.03,0.91,0
-0.30,0.45,1
0.02,-0.33,1
0.13,-0.97,0
0.76,-0.64,0
-0.27,-1.01,0
-0.15,0.37,1
-0.22,-0.32,1
-0.97,0.33,0
-0.57,-0.92,0
0.38,-0.00,1
0.05,0.35,1
-0.01,0.33,1
-0.72,0.41,0
-0.44,1.09,0
0.89,0.16,0
-1.00,-0.21,0
-0.20,0.18,1
0.05,-0.31,1
-0.02,-0.47,1
0.95,-0.25,0
0.10,0.91,0
0.65,-0.05,0
-0.27,0.00,1
-0.93,-0.22,0
0.91,0.54,0
-0.47,0.19,1
0.58,-0.67,0
-0.66,-0.60,0
-0.41,0.17,1
0.43,0.02,1
0.04,-0.30,1
1.09,0.29,0
0.68,-0.83,0
0.11,-0.36,1
-0.14,-0.36,1
0.36,0.07,1
-0.36,0.92,0
0.67,-0.80,0
-0.35,0.13,1
0.34,-0.11,1
-0.26,-0.45,1
-0.22,-0.01,1
0.87,0.48,0
0.25,-0.17,1
0.27,-0.39,1
-0.71,-0.78,0
0.74,-0.52,0
0.85,0.35,0
0.51,-0.74,0
-0.20,-0.26,1
0.88,-0.54,0
0.25,0.38,1
-1.03,-0.10,0
0.27,1.06,0
0.13,0.47,1
0.50,0.16,1
-0.11,0.39,1
0.57,-0.16,1
-0.45,1.08,0
0.48,0.72,0
0.30,0.08,1
0.18,0.23,1
0.48,-0.10,1
0.79,0.87,0
-0.38,-0.86,0
0.82,0.65,0
0.14,-0.29,1
-0.85,-0.57,0
-0.48,-0.28,1
-0.43,1.04,0
1.08,0.08,0
-0.84,-0.50,0
-0.35,0.17,1
0.86,0.36,0
1.00,0.09,0
-0.16,0.40,1
-0.15,-0.45,1
-0.02,1.14,0
-0.16,-0.17,1
-0.27,-0.23,1
0.03,-0.30,1
-0.17,-0.54,1
-0.74,0.76,0
-0.22,-1.03,0
0.77,0.59,0
-1.09,0.41,0
0.75,0.48,0
0.25,0.13,1
-0.16,-0.27,1
-0.24,0.98,0
0.42,0.09,1
-0.20,0.28,1
0.04,-0.48,1
1.11,-0.01,0
0.18,0.45,1
-0.90,-0.29,0
1.09,0.12,0
-0.79,0.36,0
0.94,-0.32,0
0.38,0.88,0
-0.49,0.17,1
0.19,0.37,1
0.61,0.58,0
0.83,0.33,0
-0.61,0.68,0
0.69,0.80,0
0.19,-0.32,1
-0.26,-0.41,1
0.36,-0.05,1
-0.49,0.78,0
0.22,0.07,1
-0.48,0.10,1
-0.85,-0.03,0
-1.01,0.38,0
-0.12,0.24,1
-0.36,0.45,1
0.05,0.41,1
-0.35,0.14,1
-0.25,-0.14,1
0.15,0.95,0
0.93,0.66,0
-0.04,0.42,1
0.43,0.09,1
1.09,0.11,0
-0.58,0.82,0
-0.43,-0.87,0
-0.87,-0.47,0
-0.35,-0.43,1
-0.32,-0.12,1
0.12,0.38,1
0.92,-0.52,0
0.35,0.00,1
0.19,0.09,1
0.28,-0.94,0
-0.36,0.18,1
-0.14,0.18,1
0.29,0.03,1
0.74,0.53,0
0.94,-0.18,0
0.42,-0.87,0
0.22,-0.88,0
-0.59,-0.84,0
-0.19,0.30,1
0.90,0.34,0
1.16,-0.06,0
-0.78,-0.61,0
